Date,Country,Status,AQI_Value
2022-08-14,Brunei,Good,11
2022-08-14,Cambodia,Good,15
2022-08-14,Cayman Islands,Good,1
2022-08-14,French Guiana,Good,17
2022-08-14,Grenada,Good,13
2022-08-14,Guam,Good,1
2022-08-14,Honduras,Good,3
2022-08-14,Puerto Rico,Good,11
2022-08-14,Venezuela,Good,10
2022-08-15,Bermuda,Good,6
2022-08-15,Brunei,Good,14
2022-08-15,Cambodia,Good,15
2022-08-15,Cayman Islands,Good,6
2022-08-15,French Guiana,Good,15
2022-08-15,Grenada,Good,1
2022-08-15,Guam,Good,5
2022-08-15,Honduras,Good,7
2022-08-15,Puerto Rico,Good,5
2022-08-15,Venezuela,Good,10
2022-08-16,Bermuda,Good,8
2022-08-16,Brunei,Good,11
2022-08-16,Cambodia,Good,15
2022-08-16,Cayman Islands,Good,10
2022-08-16,French Guiana,Good,18
2022-08-16,Grenada,Good,19
2022-08-16,Guam,Good,4
2022-08-16,Honduras,Good,36
2022-08-16,Puerto Rico,Good,17
2022-08-16,Venezuela,Good,5
2022-08-17,Bermuda,Good,11
2022-08-17,Brunei,Good,10
2022-08-17,Cambodia,Good,15
2022-08-17,Cayman Islands,Good,1
2022-08-17,French Guiana,Good,21
2022-08-17,Grenada,Good,15
2022-08-17,Guam,Good,5
2022-08-17,Honduras,Good,8
2022-08-17,Puerto Rico,Good,17
2022-08-17,Venezuela,Good,11
2022-08-18,Bermuda,Good,9
2022-08-18,Brunei,Good,15
2022-08-18,Cambodia,Good,15
2022-08-18,Cayman Islands,Good,14
2022-08-18,French Guiana,Good,24
2022-08-18,Grenada,Good,2
2022-08-18,Guam,Good,2
2022-08-18,Honduras,Good,7
2022-08-18,Puerto Rico,Good,12
2022-08-18,Venezuela,Good,2
2022-08-19,Bermuda,Good,6
2022-08-19,Brunei,Good,11
2022-08-19,Cambodia,Good,15
2022-08-19,Cayman Islands,Good,5
2022-08-19,French Guiana,Good,16
2022-08-19,Grenada,Good,5
2022-08-19,Guam,Good,5
2022-08-19,Honduras,Good,12
2022-08-19,Puerto Rico,Good,7
2022-08-19,Venezuela,Good,11
2022-08-20,Bermuda,Good,4
2022-08-20,Brunei,Good,12
2022-08-20,Cambodia,Good,15
2022-08-20,Cayman Islands,Good,2
2022-08-20,French Guiana,Good,16
2022-08-20,Grenada,Good,10
2022-08-20,Guam,Good,1
2022-08-20,Honduras,Good,11
2022-08-20,Puerto Rico,Good,3
2022-08-20,Venezuela,Good,20
2022-08-21,Bermuda,Good,3
2022-08-21,Brunei,Good,10
2022-08-21,Cambodia,Good,15
2022-08-21,Cayman Islands,Good,1
2022-08-21,French Guiana,Good,16
2022-08-21,Grenada,Good,7
2022-08-21,Guam,Good,4
2022-08-21,Honduras,Good,4
2022-08-21,Puerto Rico,Good,5
2022-08-21,Venezuela,Good,9
2022-08-22,Bermuda,Good,9
2022-08-22,Brunei,Good,10
2022-08-22,Cambodia,Good,15
2022-08-22,Cayman Islands,Good,1
2022-08-22,French Guiana,Good,16
2022-08-22,Grenada,Good,5
2022-08-22,Guam,Good,1
2022-08-22,Honduras,Good,8
2022-08-22,Puerto Rico,Good,4
2022-08-22,Venezuela,Good,4
2022-08-23,Bermuda,Moderate,61
2022-08-23,Brunei,Good,10
2022-08-23,Cambodia,Good,15
2022-08-23,Cayman Islands,Good,1
2022-08-23,French Guiana,Good,16
2022-08-23,Grenada,Good,9
2022-08-23,Guam,Good,3
2022-08-23,Honduras,Good,4
2022-08-23,Puerto Rico,Good,11
2022-08-23,Venezuela,Good,26
2022-08-23,Bermuda,Good,5
2022-08-23,Brunei,Good,10
2022-08-23,Cambodia,Good,15
2022-08-23,Cayman Islands,Good,1
2022-08-23,French Guiana,Good,21
2022-08-23,Grenada,Good,5
2022-08-23,Guam,Good,1
2022-08-23,Honduras,Good,20
2022-08-23,Puerto Rico,Good,9
2022-08-23,Venezuela,Good,25
2022-08-24,Bermuda,Good,8
2022-08-24,Brunei,Good,10
2022-08-24,Cambodia,Good,15
2022-08-24,Cayman Islands,Good,1
2022-08-24,French Guiana,Good,17
2022-08-24,Grenada,Good,1
2022-08-24,Guam,Good,4
2022-08-24,Honduras,Good,10
2022-08-24,Puerto Rico,Good,2
2022-08-24,Venezuela,Good,40
2022-08-25,Bermuda,Good,6
2022-08-25,Brunei,Good,10
2022-08-25,Cambodia,Good,15
2022-08-25,Cayman Islands,Good,1
2022-08-25,French Guiana,Good,14
2022-08-25,Grenada,Good,5
2022-08-25,Guam,Good,3
2022-08-25,Honduras,Good,10
2022-08-25,Puerto Rico,Good,2
2022-08-25,Venezuela,Good,19
2022-08-26,Bermuda,Good,2
2022-08-26,Brunei,Good,10
2022-08-26,Cambodia,Good,15
2022-08-26,Cayman Islands,Good,1
2022-08-26,French Guiana,Good,14
2022-08-26,Grenada,Good,6
2022-08-26,Guam,Good,1
2022-08-26,Honduras,Good,27
2022-08-26,Puerto Rico,Good,2
2022-08-26,Venezuela,Good,2
2022-08-27,Bermuda,Good,3
2022-08-27,Brunei,Good,12
2022-08-27,Cambodia,Good,15
2022-08-27,Cayman Islands,Good,1
2022-08-27,French Guiana,Good,12
2022-08-27,Grenada,Good,3
2022-08-27,Guam,Good,14
2022-08-27,Honduras,Good,22
2022-08-27,Puerto Rico,Good,8
2022-08-27,Venezuela,Good,23
2022-08-28,Bermuda,Good,5
2022-08-28,Brunei,Good,10
2022-08-28,Cambodia,Good,15
2022-08-28,Cayman Islands,Good,6
2022-08-28,French Guiana,Good,19
2022-08-28,Grenada,Good,1
2022-08-28,Guam,Good,1
2022-08-28,Honduras,Good,5
2022-08-28,Puerto Rico,Good,10
2022-08-28,Venezuela,Good,10
2022-08-29,Bermuda,Good,4
2022-08-29,Brunei,Good,10
2022-08-29,Cambodia,Good,15
2022-08-29,Cayman Islands,Good,2
2022-08-29,French Guiana,Good,26
2022-08-29,Grenada,Good,6
2022-08-29,Guam,Good,1
2022-08-29,Honduras,Good,30
2022-08-29,Puerto Rico,Good,6
2022-08-29,Venezuela,Good,5
2022-08-30,Bermuda,Good,3
2022-08-30,Brunei,Good,10
2022-08-30,Cambodia,Good,15
2022-08-30,French Guiana,Good,26
2022-08-30,Grenada,Good,38
2022-08-30,Guam,Good,1
2022-08-30,Honduras,Good,21
2022-08-30,Puerto Rico,Good,21
2022-08-30,Venezuela,Good,2
2022-08-31,Bermuda,Good,4
2022-08-31,Brunei,Good,10
2022-08-31,Cambodia,Good,15
2022-08-31,Cayman Islands,Good,1
2022-08-31,French Guiana,Good,24
2022-08-31,Grenada,Good,22
2022-08-31,Guam,Good,4
2022-08-31,Honduras,Good,24
2022-08-31,Puerto Rico,Good,15
2022-08-31,Venezuela,Good,17
